"airtableID","Primary field","Name","[location]","[works]","Count (works)"
"recZq6hutwO4rDLSD","Cambridge University Press,  (England |  |  | London |  |  |)","Cambridge University Press","['recqdvLDX4FnsD7mI']","['recLEHXzh2KLX7muw', 'recX4wUkMY1Zl5wdZ', 'recPUiQrxknhBGZfc', 'recRa6x6JQ1EJd8hh', 'recuM4o4nvxHBoj1h']","5"
"recd31TUXWenSk2Vg","KZN Books,  (South Africa |  |  | KwaZulu-Natal |  |  |)","KZN Books","['recTF4mq7cznKe7gv']","['recpUilLn9dhAnSAB']","1"
"reckrETw9bVk4tOW3","Editions Madagasikara,  (Madagascar |  |  | Tananarive |  |  |)","Editions Madagasikara","['recdXCBTSP20jRBl3']","['reczXOAnL85sX5TXx']","1"
"rec5dk7HZ8DU5csPg","Tafelberg,  (South Africa |  |  | Cape Town |  |  |)","Tafelberg","['recaFh0XjN5t82tvf']","['recHmnC7RVT4WNI4P', 'recknJm3MzqJNBnpu', 'recYoDFRkcDz5G04H', 'recLUoKpWNaSpeD7s', 'recFxq068xU8Lo5qL', 'recrTcn9cMSpeOjVz', 'recQwUdIzu6eXN3LA', 'recIyjKWSUXSMLagX', 'recVyhqRfm3x6Yg1P', 'recc877DC8qIqzgWY', 'recvhQlIsCVjCZ4M5', 'recyV1DlauNX84nzc', 'rec1fFBgHjJFgAsjB', 'recgHW3fuL8mRVU6t', 'recldSDLL77GvoRFK']","15"
"rec8IH5hMSwuAowcC","Ibadan University Press,  (Nigeria |  |  | Ibadan |  |  |)","Ibadan University Press","['recNzKrK8sZIVIUBi']","['rec2AXRsCO5B8Ot7g', 'recmiUuBZtqX599j1']","2"
"recvHRkFnJYigje3g","E. Arnold,  ()","E. Arnold","","['rec1Evy49dHO53DMU', 'recSHXW1ykvm50BGn']","2"
"rec4dj4yaen0N3dTE","Macmillan,  (United States | New York |  | New York |  |  |)","Macmillan","['recqWqrNjE6c3GTCl']","['recmZvJJzTJJaoyKS', 'reczUIHFMOQnKlKTo', 'reckqYurZQwAnWOpx', 'recnYAR3dUxBnL4iv', 'receWb9g5GUMY2wa0']","5"
"rec1iPMTOgJrYQ4tf","COSAW Pub,  (South Africa |  |  |  |  |  |)","COSAW Pub","['recjv372HTUISbQla']","['recpuxxIe0p3lFN7I']","1"
"recTc4gdzvAJI5AZa","A. A. Balkema,  (South Africa |  |  | Cape Town |  |  |)","A. A. Balkema","['recaFh0XjN5t82tvf']","['rec0NpfNlHpfSzFm0', 'rec2QHDZkDaOT2hPk', 'recTbdUdqXOxf0nkm']","3"
"rec3VgUjaueKkTIGz","University of South Africa,  (South Africa |  |  | Pretoria |  |  |)","University of South Africa","['recA9tRal293H7c2O']","['recM0ShHLWI2wJ71G']","1"
"recisoZDInQxtYY10","NB (Nasionale Boekhandel) Publishers,  (South Africa |  |  | Cape Town |  |  |)","NB (Nasionale Boekhandel) Publishers","['recaFh0XjN5t82tvf']","['reci7pRuMglQlkCDa', 'recFtDO7QKVYGoi6Y', 'rec1GyASjP9kdqwOL', 'recHhkM8cftxc0lSh', 'rec9FCcYDfs7Y2i1i', 'reccjCGcwG2OJ4nq5', 'recrs2inD8jojVZpX']","7"
"recTIPdOT4JfYKq1H","Oxford University Press,  (England |  | Oxfordshire | Oxford |  |  |)","Oxford University Press","['recyDy7HYxibMf3f0']","['recgpiiXVj5TLj0lH', 'recUcgn8B1XplPRJQ', 'recIOHM8rxivNCi1L', 'rec89aa7FDppf56gj', 'recbDA6kMQeoeG582', 'rec3U3FHRlYFu3QB5', 'recVimZVhL44ppGhi', 'recTnooxjQ1b4TYlg', 'reccY7kvJFud368PN', 'reclzg48FhuoF9j5q', 'recrSAujmLslF3yaA', 'recnPMn3qRgRtgHHS', 'reczfGB0Cjyo6cFU2', 'recYUfJFFbXiAnOx7', 'recGMdnsm6xoalfsc', 'recqkruu7gkZqxXR1', 'recz3HmVAnXii96zr']","17"
