"airtableID","Id","Name","[locations]","educations [join]"
"","Jiwaji University, Gajara Raja Medical College,  (India | Madhya Pradesh |  |  |  | )","Jiwaji University, Gajara Raja Medical College","['recdXLhOIDG5tao1d']","['recz41qphTO0VkEjJ']"
"","Tanta University,  (Egypt |  |  | Tanta |  | )","Tanta University","['recxdeK4Fj5A09158']","['recLbfsvZKzvO9fGO']"
"","University of Porto,  (Portugal |  |  | Porto |  | )","University of Porto","['recfMJzfPqsmqJE0X']","['recSpZuUxOWOPYLIs']"
"","Griffith University,  (Australia | Queensland |  |  |  | Brisbane)","Griffith University","['recGvfALU6ssdzdmJ']","['recHzA9ZdkEHlTYOn']"
"","Government College, Umuahia,  (Nigeria | Abia State |  | Umuahia |  | )","Government College, Umuahia","['recsKZaww2nhCEaQm']","['recvDoR4q9cXqYLD4']"
"","Marlboro College,  (United States | Vermont |  | Marlboro |  | )","Marlboro College","['rec3Zc7v0xG8VpkMx']","['recRUCNeKrcc7iIAQ']"
"","Mindolo Ecumenical Centre School of Journalism,  (Zambia | Copperbelt Province |  | Kitwe |  | )","Mindolo Ecumenical Centre School of Journalism","['rec38lV3e5jYi9TAA']","['rechkSwya1CrrVWTF']"
"","Loyola Marymount University,  (United States | California |  | Los Angeles |  | )","Loyola Marymount University","['recdmzHJTksmBYBa6']","['recLZfS9xFFDAqHsQ']"
"","Fielding Graduate University,  (United States | California |  | Santa Barbara |  | )","Fielding Graduate University","['rechxDRVAafKTFytH']","['recKDzrR3FscclBYb']"
"","International University Of East Africa,  (Uganda |  |  | Kampala |  | )","International University Of East Africa","['reczvcxKIJ5meNQRB']","['recZLYogfOlSzc22i']"
"","University of Dar es Salaam,  (Tanzania |  |  | Dar es Salaam |  | )","University of Dar es Salaam","['recoYkcv666hmwCgO']","['recVwXHhcIi9hoCbL', 'recI0ssuNe9Szzkir']"
"","Kenyatta University,  (Kenya |  |  | Nairobi |  | )","Kenyatta University","['recu3MoBp4ft8I96h']","['rec2Iva1HZUlbQWQd']"
"","Uganda Christian University,  (Uganda |  |  | Kampala |  | )","Uganda Christian University","['reczvcxKIJ5meNQRB']","['recmgIqPUqHJabWBR']"
"","Law Development Centre,  (Uganda |  |  | Kampala |  | )","Law Development Centre","['reczvcxKIJ5meNQRB']","['recRuJ1dpyfpm2GFi', 'recYHl5taOBicfETZ']"
"","Harvard University,  (United States | Massachusetts |  | Cambridge |  | )","Harvard University","['reccmZIG8WaCtw0My']","['rec7k069vcaXgxKId', 'recxVVGg8qukPHdMO']"
"","University of Khartoum,  (Sudan |  |  | Khartoum |  | )","University of Khartoum","['recNiH3taZlqXlgQE']","['recG0JFoIEpO7IxgX', 'rec6JJvlk3X3Zjjnw', 'recV1ohngihNbOxKb']"
"","Stockholm University,  (Sweden |  |  | Stockholm |  | )","Stockholm University","['recRQNREEaUheUZ2k']","['recuHz8teP9TDazfh']"
"","Acadia University,  (Canada | Nova Scotia |  |  Wolfville |  | )","Acadia University","['recArUdzqKT6TNYL9']","['rec7fR52RQOTCBt8b']"
"","The University of the West Indies,  (Trinidad and Tobago | Trinidad |  | Saint Augustine |  | )","The University of the West Indies","['recsto1rIEj5CxUZb']","['rectHVKAJAGsKmZNx']"
"","Benha University,  (Egypt | Qalyubiyya Governorate |  | Banha |  | )","Benha University","['recA9iQKLi0gjKrdP']","['rec5AC6GiQXl2m2jb']"
"","Federal University of Technology Akure,  (Nigeria | Ondo State |  | Akure |  | )","Federal University of Technology Akure","['recb127zlONurT1Uc']","['recGETRIeSKQbrBOJ']"
"","University of Greenwich,  (England |  |  | London |  | )","University of Greenwich","['recR6YHhrfthZo5tS']","['recjhxzl1JYSYa2OI']"
"","University of Ilorin,  (Nigeria | Kwara State |  | Ilorin |  | )","University of Ilorin","['recXcDjlw7vJHQCc0']","['reckXQSRv9ZxOm6D6']"
"","Al-Azhar University,  (Egypt |  |  | Cairo |  | )","Al-Azhar University","['recFtYlvGypMsvfE8']","['recRkJssLrC5nMkDo']"
"","Omdurman Islamic University,  (Sudan |  |  | Omdurman |  | )","Omdurman Islamic University","['recnrKO5BJ6N6UAFo']","['reciBUsAJkKGnVmdn']"
"","Dar Al-Eloom,  (Egypt |  |  | Cairo |  | )","Dar Al-Eloom","['recFtYlvGypMsvfE8']","['recBokQzs016VaRRh']"
"","Vienna University of Economics and Business Administration,  (Austria |  |  | Vienna |  | )","Vienna University of Economics and Business Administration","['recTbKUJO8M6fYuCo']","['recQTEQS5HpfZirRv']"
"","University of Leipzig,  (Germany |  |  | Leipzig |  | )","University of Leipzig","['recg4I139U9jN6L0c']","['recxjhPmZYlbNnGvE', 'rec2TnSjXrlsnIli9']"
"","King Abdulaziz University,  (Saudi Arabia |  |  | Jeddah |  | )","King Abdulaziz University","['recGz49Edzsl1rxph']","['recn0a18ZREb1vyJB']"
"","Lagos State University,  (Nigeria |  |  | Lagos |  | )","Lagos State University","['rechXxEReQlGKd2ar']","['recXhJa6NjMCO6oHd']"
"","Belgian Francophone Université Catholique de Louvain,  (Belgium |  |  |  |  | )","Belgian Francophone Université Catholique de Louvain","['recnGLqX1UKitOYXi']","['recAtXQVwc81vLCcF']"
"","Educational Insitute,  (Madagascar |  |  | Antananarivo |  | )","Educational Insitute","['recE4KGFcpN59QxsO']","['recZNmtxkesqNDvHX']"
"","London School of Hygiene,  (England |  |  | London |  | )","London School of Hygiene","['recR6YHhrfthZo5tS']","['rec5TTdQgNiDxlPnJ', 'rec8Q8vXf6DxvWduu']"
"","Groningen University,  (Netherlands |  |  | Groningen |  | )","Groningen University","['recImDpLRiOLps0YM']","['recKMb5RTJW370frI']"
"","Muteesa I Royal University,  (Uganda | Buganda Region |  | Masaka |  | )","Muteesa I Royal University","['rec7iCLu5YJ4vMOwB']","['recBvOuP4rdcybF5i']"
"","Vista University,  (South Africa |  |  | Pretoria |  | )","Vista University","['rec12WNOPdXXeSa9Y']","['recpHG6AqVvqfKqyZ']"
"","Aboke Junior Seminary,  (Uganda |  | Aboke Sub County | Abongodero Hill |  | )","Aboke Junior Seminary","['recgraLIHwlWlfFjy']","['recoHAc7ypW46OxRk']"
""," Lango College,  (Uganda |  |  | Lira |  | )"," Lango College","['recF9vyKOkfCC8SWD']","['recEEKyfHsv34u3Ms']"
"","Kyambogo University,  (Uganda |  |  | Kampala |  | )","Kyambogo University","['reczvcxKIJ5meNQRB']","['recYwA4f6toklPy8N']"
"","Veterinary Training Institute,  (Uganda |  |  | Entebbe |  | )","Veterinary Training Institute","['recjv3wSHjj1iQK9v']","['recGE1BBf0AAJy4W0']"
"","Smith College,  (United States | Massachusetts |  | Northampton |  | )","Smith College","['recR0SwcYyQCJDZXt']","['recYgjhNfEZVeLKku']"
"","British College of Osteopathic Medicine,  (England |  |  | London |  | )","British College of Osteopathic Medicine","['recR6YHhrfthZo5tS']","['recfi8PUDB0t6AOJO']"
"",",  ()","","",""
"","Daystar University,  (Kenya |  |  | Nairobi |  | )","Daystar University","['recu3MoBp4ft8I96h']","['recr3bgt07EzHNvJ8']"
"","Riara University,  (Kenya |  |  | Nairobi |  | )","Riara University","['recu3MoBp4ft8I96h']","['recCqoMGXHHS6mpaF']"
"","University of Copenhagen,  (Denmark |  |  | Copenhagen |  | )","University of Copenhagen","['recmjBvYZ4qlyX3LH']","['recwMKeh6c5AmifZl']"
"","Royal Technical College,  (Kenya |  |  | Nairobi |  | )","Royal Technical College","['recu3MoBp4ft8I96h']","['recE7KkYicmOQc5eU']"
"","Herzen University,  (Russia |  |  | St. Petersburg |  | )","Herzen University","['rec0qhGdit9oqm4Wm']","['recqynLzCbu4u2APE']"
"","Université Mouloud Mammeri de Tizi Ouzou,  (Algeria | Tizi Ouzou Province |  | Tizi Ouzou |  | )","Université Mouloud Mammeri de Tizi Ouzou","['recFsXWgqHaKrKLqe']","['recOLQtx9o15mE5AQ']"
"","Benue State University,  ( | Nigeria |  | Makurdi |  | )","Benue State University","['recQzjTZJl7bi0VGy']","['reci9ZnPgttVGkArJ', 'recvMg7vgVIHzgwQX']"
"","Ahmadu Bello University,  (Nigeria |  |  | Kano |  | )","Ahmadu Bello University","['recKARP10mRo7InO0']","['recm1R4AtdeHnLlCH', 'recx3Js1sqDwIwk6g']"
"",",  ()","","","['recJvoUSIv1ayQslz']"
"","University of Abuja,  (Nigeria |  |  | Abuja |  | )","University of Abuja","['rec2abbHibQrIECmj']","['recaSK4XOvNgNii00']"
"","St Petersburg University,  (Russia |  |  |  |  | )","St Petersburg University","['rec2paUmIrfzmfmh5']","['recWOk43KEugVtDhw']"
"","University of Liverpool Medical School,  (United Kingdom |  |  |  |  | )","University of Liverpool Medical School","['recjX6pUtbmRD6nXV']","['recZm1DBnNHzwqFRi']"
"","Egyptian University,  (Egypt |  |  | Cairo |  | )","Egyptian University","['recFtYlvGypMsvfE8']","['recme7kk7wkMKQeQq', 'reciHaguRV1TaKWyT']"
"",",  ()","","",""
"","Fouad University,  (Egypt |  |  | Cairo |  | )","Fouad University","['recFtYlvGypMsvfE8']","['recAjr04oj0ve9a1G']"
"","University of Massachusetts,  (United States | Massachusetts |  |  |  | Amherst )","University of Massachusetts","['rechvQYFkibgSnYgN']","['recdwYSyYrWphlr42', 'recsMkf8MqNLxK5kw']"
"","Arizona State University,  (Arizona |  |  | Tempe |  | )","Arizona State University","['recNyobWPQ19CnW8j']","['recH2bujGP7uFdEqT', 'receQ72b8gqk7T3LU']"
"","London Business School,  ()","London Business School","","['recDXEikO9PcY8kYS']"
"","University of Windsor,  (Canada |  |  |  |  | )","University of Windsor","['recnnxKNEas1j5WCd']","['recZAFuHZ0ScWi9P2']"
"","University of Aberystwyth,  (Cameroon |  |  |  |  | )","University of Aberystwyth","['recnfzHM757f2WtqC']","['recYPAlhpBE3ptkUx']"
"","The City University of New York,  (United States | New York |  | New York |  | )","The City University of New York","['recRPTnrNPU6ArRJv']","['recW5a8BCZCp2qNzp', 'recobEB9eQ3Kngxmh']"
"",",  ()","","",""
"","Iowa State University,  (United States | Iowa |  | Ames |  | )","Iowa State University","['recDETiMhBS9sUbpC']","['recKt8Sg5LwVhRIXG']"
"","University of Minnesota,  (United States | Minnesota |  |  |  | )","University of Minnesota","['recmZ4L42eyGfTXnV']","['rectfId1pr7uLQY8V']"
"","Hekima College,  (Kenya |  |  | Nairobi |  | )","Hekima College","['recu3MoBp4ft8I96h']","['recbN3orBs40u8FBz']"
"","St. Augustine,  ()","St. Augustine","","['recTEwqsx7Je0rABV']"
"","Rabun Gap Nacoochee School,  (United States | Georgia | Rabun County |  |  | )","Rabun Gap Nacoochee School","['recYW8o79LiIDpac3']","['recr6oMVi54F4SBu2']"
"","Virginia Polytechnic Institute,  (United States | Virginia |  |  |  | )","Virginia Polytechnic Institute","['recYTuHHf5P60cZZp']","['recSyWHKqsmKkZEYR']"
