"airtableID","Id","Name","[locations]","educations [join]"
"recsEVCWVTSAhOiq8","University of Kent,  (England |  | Kent | Canterbury |  | Canterbury)","University of Kent","['recbRp72VTowD4gAe']","['recuyi5LmBgee9nOw', 'recvrcKAoo6bwGldF', 'reccvMTSbjeE5JsnN', 'recLfPywfX9O77PlC', 'recLk4nCWXuUvvj2j', 'recI3VDbCK2aRVVv0']"
"reccHWEEvoEBozrVG","University of Bordeaux,  (France |  |  | Bordeaux |  | )","University of Bordeaux","['receN0Fkb8XY9LX19']","['recTa2h1yrQ6jQmPd', 'recv406yooCYBIsjw']"
"recgQwTy8MZ3hhgA6","University of Ghana,  (Ghana |  |  | Accra |  | )","University of Ghana","['recuKEdPzd1pJCj4L']","['recBqMa4F6GTfdXGN', 'rectzkL6vOpn1pcfL', 'recuNNNSIrKFKY8Vu', 'recYdOjpXI9mOM4p9', 'recnbHZHutGy5SZ7s']"
"rec0EZZr4GahJUHGn","Indiana University,  (United States | Indiana |  | Bloomington |  | )","Indiana University","['rec2lbQThAnBuWF6m']","['reczvJ5ri3S7S6t11', 'recGFRit8YkSIvO3m']"
"rechGC8f9BU9IEm1N","University of the Free State,  (South Africa |  |  |  |  | )","University of the Free State","['recKow3Gb4ICpWOsk']","['recfzr9XmogBDCrPZ', 'recLVWjz6QAeDKeOJ']"
"recAEc6R5qNkptTKC","Hope Home,  ()","Hope Home","","['recHgrJRy9TSrgo8w']"
"reccZVVXVNxj3R7ct","Damelin College,  (South Africa |  |  |  |  | )","Damelin College","['recKow3Gb4ICpWOsk']","['recUajFXevcpqNdlR']"
"recBwAKV7LHfr4iX2","Wits University,  (South Africa |  |  | Johannesburg |  | )","Wits University","['recFjYFloIc1MhnAb']","['recsJW6J7dfIUWeBb', 'recSs3gIXbxDHXUIT']"
"recPXYjKnI5tvqB1p","University of Namibia,  (Namibia |  |  |  |  | )","University of Namibia","['reczqQS9ZW5y2BvDc']","['recZ01B4nMqzAWr5l']"
"recoIsf5dSkWFruA6","Goldsmith College,  (England |  |  | London |  | )","Goldsmith College","['recR6YHhrfthZo5tS']","['rec06SQ4NPWCEAmD3', 'reczb6V9ivXBMgIKZ', 'rechWImik0VMIVkVQ', 'reci5XZeprZNfn425']"
