"airtableID","Primary Field","Author","[person]","[works]","Name [Role]"
"recelQ5QQCj4V9eOX","[apdp.work.000467] ""Ntuli, Pitika 
(1942-)"" (Poet) - author","True","['recPgm4Uyjhs03RyH']","['rec2y2B84JDkx5iXc']","Poet"
"recepLSBoR1Feya6k","[apdp.work.000349] ""Rousseau, Ina 
(1926-2005)"" (Poet) - author","True","['recZS4g43q5Io7CpK']","['recPAfAgrZMUz3CkL']","Poet"
"receuKDosoeBoK69i","[apdp.work.000198] ""Ntuli, Pitika 
(1942-)"" (Poet)","","['recPgm4Uyjhs03RyH']","['rec3u9UuHU6O6IuOZ']","Poet"
"receyuaFXjb27lCMi","[apdp.work.000184] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet)","","['recrkX4daZNLsq0cZ']","['recFkQMELanS2ps6M']","Poet"
"receyKCExNiOgRMRG","[apdp.work.000717] ""Brew, Osborne Henry Kwesi 
(1928-2007)"" (Poet) - author","True","['recMtz94K601qz8dX']","['recynchU0DnFTW0XV']","Poet"
"recezHpCYnjGlR5WO","[apdp.work.000475] ""Naude, Adele 
(1910-1981)"" (Poet) - author","True","['rec66xaJWSHHckvag']","['recmoatq5QILiKsOK']","Poet"
"receQbNhUBhUZUjdU","[apdp.work.000191] ""Todd, Janet 
(1942-)"" (Editor)","","['recTPYoytTFmPuaad']","['recsuHcmAYL9oJOOD']","Editor"
"receUchdT1qDenpZ7","[apdp.work.000488] ""Mann, Chris 'Christopher Michael Zithulele' 
(1948-2021)"" (Poet) - author","True","['recU0GqypnmAL84T5']","['recUdgi3fBVsPEqS8']","Poet"
"receYQSQo5Uznyz3j","[apdp.work.000020] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Mentioned Poet)","","['recOo2kpeQuQEciaC']","['recZxBfQg1MhMEMuL']","Mentioned Poet"
"rece1ZiUMc8X0iqCv","[apdp.work.000238] ""Wright, David 
(1920-1994)"" (Poet) - author","True","['recX3e6HGV46vJgzl']","['recYyVnXU2UGHa2Fo']","Poet"
