ID,Name,Special Notes,Last Name,Given Name,Alternate Name,Country,Region,Source,Gender,Bibliography,Authority,Notes
ap.per.00109,Atukwei Okai,*,Okai,,,Ghana,Western Africa,Index,M,,,
ap.per.00078,Gabriel Okara,,Okara,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00090,Niran Okewole,*,Okewole,,,Nigeria,Western Africa,Index,M,,,
ap.per.00089,Ben Okri,*,Okri,,,Nigeria,Western Africa,Index,M,,,
ap.per.00106,Kwadwo Opoku-Agyemang,,Opoku-Agyemang,,,Ghana,Western Africa,Anthology,M,,,
ap.per.00080,Romeo Oriogun ,,Oriogun,,,Nigeria,Western Africa,Anthology,M,,,(chapbook pending??)
ap.per.00171,Ladan Osman,,Osman,,,Somalia,Eastern Africa,Anthology,F,,,
ap.per.00065,Niyi Osundare,,Osundare,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00068,Nduka Otiono,,Otiono,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00265,Hassan El Ouzzani,*,Ouzzani,,,Morocco,Northern Africa,Index,,,,
ap.per.00083,Femi Oyebode,*,Oyebode,,,Nigeria,Western Africa,Index,M,,,
ap.per.00362,Donald Parenzee,*,Parenzee,,,South Africa,Southern Africa,Index,,,,
ap.per.00100,Nii Parkes,,Parkes,,,Ghana,Western Africa,Anthology,M,,,
ap.per.00157,Stephen Derwent Partington,*,Partington,,,Kenya,Eastern Africa,Index,M,,,
ap.per.00151,Shalija Patel,,Patel,,,Kenya,Eastern Africa,Anthology,F,,,
ap.per.00358,Amira Patel,*,Patel,,,South Africa,Southern Africa,Index,,,,
ap.per.00008,Joao Pedro,,Pedro,,,Angola,Middle Africa,Index,M,,,
ap.per.00327,H.J. Pieterse,*,Pieterse,,,South Africa,Southern Africa,Index,,,,
ap.per.00352,Cosmo Pieterse,*,Pieterse,,,South Africa,Southern Africa,Index,,,,
ap.per.00057,No Poet,,Poet,,,Gabon,Middle Africa,None,,,,
ap.per.00058,No Poets,,Poets,,,Equatorial Guinea,Middle Africa,None,,,,
ap.per.00122,No Poets,,Poets,,,Benin,Western Africa,,,,,
ap.per.00123,No Poets,,Poets,,,Burkina Faso,Western Africa,,,,,
ap.per.00124,No Poets,,Poets,,,Guinea-Bissau,Western Africa,,,,,
ap.per.00125,No Poets,,Poets,,,Mali,Western Africa,,,,,
ap.per.00126,No Poets,,Poets,,,Mauritania,Western Africa,,,,,
ap.per.00127,No Poets,,Poets,,,Togo,Western Africa,,,,,
ap.per.00128,No Poets,,Poets,,,Saint Helena,Western Africa,,,,,
ap.per.00199,No Poets,,Poets,,,Reunion,Eastern Africa,,,,,
ap.per.00200,No Poets,,Poets,,,Rwanda,Eastern Africa,,,,,
ap.per.00201,No Poets,,Poets,,,Seychelles,Eastern Africa,,,,,
ap.per.00385,No Poets,,Poets,,,Swaziland,Southern Africa,Index,,,,
ap.per.00297,Karen Press,,Press,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00272,Al-Saddiq Al-Raddi,,Raddi,,,Sudan,Northern Africa,Anthology,,,,
